	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
0	-1.0	0.0	1.0
1	-1.0	0.0	1.0
2	-1.0	0.0	0.0
3	-1.0	0.0	1.0
4	-1.0	0.0	1.0
5	-1.0	0.0	0.0
6	-1.0	0.0	0.0
7	-1.0	0.0	0.0
8	-1.0	0.0	0.0
9	-1.0	0.0	1.0
10	-1.0	0.0	1.0
11	-1.0	0.0	1.0
12	-1.0	0.0	1.0
13	-1.0	0.0	0.0
14	-1.0	0.0	1.0
15	-1.0	-486.0	0.0
16	-1.0	-434.842105	1.0
17	-1.0	-383.684211	1.0
18	90.0	25.578947	1.0
19	-1.0	-281.368421	0.0
20	-1.0	-230.210526	0.0
21	-1.0	-179.052632	0.0
22	-1.0	-127.894737	0.0
23	-1.0	-76.736842	0.0
24	-1.0	-25.578947	0.0
25	-1.0	25.578947	1.0
26	-1.0	76.736842	0.0
27	90.0	-434.842105	1.0
28	-1.0	179.052632	0.0
29	-1.0	230.210526	0.0
30	-1.0	281.368421	1.0
31	-1.0	332.526316	1.0
32	-1.0	383.684211	0.0
33	90.0	434.842105	0.0
34	-1.0	486.0	1.0
35	-1.0	-486.0	0.0
36	-1.0	-434.842105	1.0
37	-1.0	-383.684211	0.0
38	0.0	332.526316	0.0
39	-1.0	-281.368421	1.0
40	-1.0	-230.210526	0.0
41	-1.0	-179.052632	0.0
42	-1.0	-127.894737	0.0
43	0.0	230.210526	1.0
44	-1.0	-25.578947	1.0
45	-1.0	25.578947	0.0
46	-1.0	76.736842	0.0
47	-1.0	127.894737	1.0
48	-1.0	179.052632	0.0
49	-1.0	230.210526	0.0
50	0.0	-383.684211	0.0
51	-1.0	332.526316	1.0
52	-1.0	383.684211	0.0
53	-1.0	434.842105	1.0
54	-1.0	486.0	1.0
55	-1.0	0.0	0.0
56	-1.0	0.0	0.0
57	-1.0	0.0	0.0
58	-1.0	0.0	1.0
59	-1.0	0.0	0.0
60	-1.0	0.0	0.0
61	-1.0	0.0	1.0
62	-1.0	0.0	1.0
63	-1.0	0.0	1.0
64	-1.0	0.0	0.0
65	-1.0	0.0	1.0
66	-1.0	0.0	1.0
67	-1.0	0.0	1.0
68	-1.0	0.0	1.0
69	-1.0	0.0	0.0
70	-1.0	-486.0	0.0
71	-1.0	-434.842105	1.0
72	-1.0	-383.684211	1.0
73	-1.0	-332.526316	0.0
74	-1.0	-281.368421	1.0
75	90.0	-179.052632	1.0
76	-1.0	-179.052632	0.0
77	-1.0	-127.894737	0.0
78	-1.0	-76.736842	1.0
79	-1.0	-25.578947	1.0
80	90.0	230.210526	1.0
81	-1.0	76.736842	1.0
82	-1.0	127.894737	1.0
83	-1.0	179.052632	1.0
84	-1.0	230.210526	0.0
85	-1.0	281.368421	1.0
86	90.0	281.368421	0.0
87	-1.0	383.684211	1.0
88	-1.0	434.842105	1.0
89	-1.0	486.0	1.0
90	-1.0	-486.0	0.0
91	-1.0	-434.842105	0.0
