	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
206	180.0	76.736842	1.0
207	180.0	127.894737	1.0
208	180.0	179.052632	1.0
209	180.0	230.210526	0.0
210	-1.0	281.368421	1.0
211	180.0	332.526316	0.0
212	180.0	383.684211	1.0
213	180.0	434.842105	1.0
214	180.0	486.0	1.0
215	270.0	-486.0	0.0
216	270.0	-434.842105	0.0
217	270.0	-383.684211	1.0
218	270.0	-332.526316	1.0
219	270.0	-281.368421	0.0
220	270.0	-230.210526	0.0
221	-1.0	-179.052632	0.0
222	270.0	-127.894737	0.0
223	270.0	-76.736842	1.0
224	270.0	-25.578947	0.0
225	270.0	25.578947	0.0
226	-1.0	76.736842	1.0
227	270.0	127.894737	1.0
228	270.0	179.052632	1.0
229	270.0	230.210526	0.0
230	-1.0	281.368421	0.0
231	270.0	332.526316	0.0
232	270.0	383.684211	0.0
233	270.0	434.842105	0.0
234	270.0	486.0	0.0
235	-1.0	0.0	1.0
236	-1.0	0.0	0.0
237	-1.0	0.0	0.0
238	-1.0	0.0	1.0
239	-1.0	0.0	0.0
240	-1.0	0.0	1.0
241	-1.0	0.0	0.0
242	-1.0	0.0	0.0
243	-1.0	0.0	0.0
244	-1.0	0.0	1.0
245	-1.0	0.0	0.0
246	-1.0	0.0	1.0
247	-1.0	0.0	1.0
248	-1.0	0.0	1.0
249	-1.0	0.0	1.0
250	-1.0	0.0	1.0
251	-1.0	0.0	1.0
252	-1.0	0.0	0.0
253	-1.0	0.0	1.0
254	-1.0	0.0	1.0
255	-1.0	0.0	0.0
256	-1.0	0.0	0.0
257	-1.0	0.0	0.0
258	-1.0	0.0	0.0
259	-1.0	0.0	1.0
260	-1.0	0.0	1.0
261	-1.0	0.0	1.0
262	-1.0	0.0	1.0
263	-1.0	0.0	0.0
264	-1.0	0.0	1.0
265	-1.0	-486.0	0.0
266	-1.0	-434.842105	1.0
267	-1.0	-383.684211	1.0
268	-1.0	-332.526316	1.0
269	90.0	-230.210526	0.0
270	-1.0	-230.210526	0.0
271	-1.0	-179.052632	0.0
